Date,Open,High,Low,Close,Adj Close,Volume
2017-02-03,5.78,5.81,5.72,5.76,5.209126,213384080
2017-02-06,5.81,5.83,5.76,5.8,5.245301,212289254
2017-02-07,5.78,5.83,5.78,5.8,5.245301,198063453
2017-02-08,5.81,5.89,5.72,5.85,5.290519000000001,561104569
2017-02-09,5.89,5.95,5.85,5.92,5.3538239999999995,510879327
2017-02-10,5.95,5.97,5.91,5.91,5.34478,348640979
2017-02-13,5.92,5.97,5.91,5.95,5.380955,317375070
2017-02-14,5.97,6.0,5.91,5.97,5.399042,350170652
2017-02-15,6.01,6.27,6.01,6.27,5.670351,998521655
2017-02-16,6.39,6.45,6.33,6.45,5.833136,912020342
2017-02-17,6.42,6.43,6.29,6.35,5.7427,456421348
2017-02-20,6.35,6.45,6.32,6.35,5.7427,372800318
2017-02-21,6.37,6.38,6.28,6.3,5.697482,295469071
2017-02-22,6.36,6.45,6.33,6.45,5.833136,388405515
2017-02-23,6.43,6.47,6.39,6.46,5.84218,371596774
2017-02-24,6.44,6.47,6.39,6.41,5.796962000000001,338141219
2017-02-27,6.43,6.45,6.32,6.36,5.751744,289824778
2017-02-28,6.38,6.44,6.36,6.39,5.778874,328147430
2017-03-01,6.43,6.43,6.3,6.34,5.733656,286893494
2017-03-02,6.42,6.43,6.25,6.26,5.661308,408505671
2017-03-03,6.22,6.25,6.15,6.15,5.561827,453925643
2017-03-06,6.15,6.23,6.15,6.17,5.579915,224215059
2017-03-07,6.15,6.21,6.15,6.18,5.588958,185098396
2017-03-08,6.14,6.24,6.12,6.19,5.598001999999999,296426213
2017-03-09,6.15,6.16,6.06,6.06,5.480435,289445773
2017-03-10,6.09,6.14,6.01,6.05,5.471391000000001,262022574
2017-03-13,6.1,6.29,6.05,6.25,5.652264,400333279
2017-03-14,6.29,6.39,6.27,6.35,5.7427,409163686
2017-03-15,6.31,6.35,6.26,6.3,5.697482,240428648
2017-03-16,6.4,6.42,6.31,6.42,5.806005,403334992
2017-03-17,6.44,6.45,6.37,6.44,5.824092,332161392
2017-03-20,6.41,6.45,6.37,6.45,5.833136,157514928
2017-03-21,6.46,6.55,6.44,6.5,5.878354,368330353
2017-03-22,6.41,6.44,6.34,6.36,5.751744,295557051
2017-03-23,6.42,6.46,6.36,6.4,5.787918,254524702
2017-03-24,6.41,6.43,6.35,6.39,5.778874,199496315
2017-03-27,6.34,6.42,6.32,6.33,5.724613,204802206
2017-03-28,6.37,6.39,6.34,6.38,5.769831,210272874
2017-03-29,6.4,6.47,6.37,6.41,5.796962000000001,239143666
2017-03-30,6.45,6.45,6.31,6.33,5.724613,317811922
2017-03-31,6.34,6.38,6.25,6.25,5.652264,311464408
2017-04-03,6.3,6.33,6.27,6.32,5.715569,172548539
2017-04-05,6.35,6.35,6.23,6.35,5.7427,338585611
2017-04-06,6.34,6.35,6.22,6.24,5.6432199999999995,296356991
2017-04-07,6.23,6.24,6.14,6.23,5.634176999999999,256787800
2017-04-10,6.22,6.29,6.21,6.27,5.670351,120941329
2017-04-11,6.3,6.3,6.16,6.2,5.607044999999999,207322387
2017-04-12,6.17,6.25,6.14,6.23,5.634176999999999,265848513
2017-04-13,6.21,6.3,6.19,6.26,5.661308,173392751
2017-04-18,6.26,6.3,6.13,6.14,5.552783,235353564
2017-04-19,6.14,6.15,6.08,6.1,5.516609,209238021
2017-04-20,6.08,6.16,6.08,6.16,5.570871,222154668
2017-04-21,6.19,6.22,6.15,6.18,5.588958,186844084
2017-04-24,6.22,6.25,6.17,6.23,5.634176999999999,160980649
2017-04-25,6.25,6.39,6.23,6.35,5.7427,296174022
2017-04-26,6.39,6.41,6.34,6.37,5.7607870000000005,228349546
2017-04-27,6.34,6.36,6.24,6.34,5.733656,190440499
2017-04-28,6.32,6.36,6.29,6.32,5.715569,162007922
2017-05-02,6.36,6.37,6.25,6.3,5.697482,210939799
2017-05-04,6.28,6.3,6.2,6.27,5.670351,149166213
2017-05-05,6.25,6.26,6.15,6.16,5.570871,235969421
2017-05-08,6.23,6.24,6.18,6.21,5.616089,140642401
2017-05-09,6.22,6.28,6.13,6.27,5.670351,223122774
2017-05-10,6.3,6.39,6.3,6.34,5.733656,339513770
2017-05-11,6.37,6.4,6.33,6.36,5.751744,200023576
2017-05-12,6.35,6.4,6.32,6.37,5.7607870000000005,154032054
2017-05-15,6.41,6.48,6.4,6.48,5.8602669999999994,287272913
2017-05-16,6.47,6.48,6.39,6.44,5.824092,238403384
2017-05-17,6.42,6.44,6.36,6.38,5.769831,172511274
2017-05-18,6.36,6.36,6.31,6.33,5.724613,197763139
2017-05-19,6.33,6.36,6.3,6.32,5.715569,144280108
