Open,High,Low,Close,Adj Close,Volume
4.4,4.44,4.37,4.39,3.9573620000000003,172076338
4.43,4.49,4.42,4.47,4.029478,301015396
4.47,4.47,4.47,4.47,4.029478,0
4.37,4.44,4.37,4.39,3.9573620000000003,236711319
4.44,4.44,4.38,4.41,3.9753910000000006,172796950
4.44,4.5,4.44,4.48,4.038493,181341468
4.52,4.56,4.5,4.56,4.110608999999999,189859777
4.56,4.59,4.54,4.58,4.128637,174644782
4.6,4.65,4.59,4.64,4.182723999999999,266493516
4.62,4.75,4.62,4.74,4.272869999999999,482387208
4.78,4.8,4.76,4.79,4.3179419999999995,474115047
4.77,4.9,4.77,4.87,4.390058,491604091
4.86,4.9,4.8,4.85,4.372029,325879456
4.83,4.92,4.82,4.88,4.3990730000000005,438252905
4.9,4.95,4.88,4.9,4.417101000000001,467325450
4.93,4.95,4.85,4.91,4.426116,321973658
4.89,4.96,4.86,4.96,4.471188,356256226
4.92,5.02,4.92,5.0,4.507246,389793789
4.97,4.99,4.88,4.9,4.417101000000001,461746982
4.9,4.99,4.87,4.93,4.444145,339313353
4.95,4.99,4.88,4.94,4.453158999999999,360331309
4.9,4.94,4.87,4.94,4.453158999999999,258657045
4.97,5.0,4.91,4.99,4.498231,384928932
4.95,5.0,4.93,4.93,4.444145,331215783
4.91,5.0,4.87,4.97,4.480201999999999,404522724
4.96,4.97,4.9,4.9,4.417101000000001,653255850
4.94,5.02,4.93,4.98,4.489217,399767392
4.97,5.06,4.96,5.05,4.552319000000001,416392261
5.02,5.08,5.02,5.06,4.561333,384415787
5.06,5.09,5.04,5.06,4.561333,287716164
5.06,5.12,5.05,5.06,4.561333,428494751
4.95,4.95,4.83,4.83,4.354,451920940
4.92,4.95,4.8,4.81,4.335971,202757073
4.84,4.87,4.77,4.8,4.326957,224683548
4.81,4.88,4.79,4.82,4.344984999999999,253144685
4.87,4.97,4.85,4.92,4.43513,336653042
4.89,4.99,4.89,4.97,4.480201999999999,261962320
4.96,5.08,4.94,5.03,4.53429,348449382
5.09,5.12,4.97,5.03,4.53429,368065165
5.05,5.05,4.88,4.88,4.3990730000000005,431091063
4.86,4.94,4.81,4.85,4.372029,294457543
4.88,5.01,4.85,4.97,4.480201999999999,399359686
4.94,4.99,4.92,4.97,4.480201999999999,310738312
5.04,5.04,4.92,4.99,4.498231,216710041
4.91,4.94,4.85,4.85,4.372029,233258504
4.95,4.96,4.9,4.91,4.426116,114681900
4.91,4.95,4.9,4.95,4.462173,124558034
4.96,5.0,4.93,4.96,4.471188,161523269
4.99,5.03,4.97,5.0,4.507246,252528192
5.04,5.04,4.96,5.0,4.507246,164123809
5.03,5.05,4.87,4.91,4.426116,251881333
4.87,4.89,4.78,4.82,4.344984999999999,277609440
4.78,4.81,4.68,4.69,4.227797,383995181
4.72,4.74,4.66,4.72,4.25484,396720151
4.7,4.73,4.66,4.68,4.218782,233131112
4.71,4.77,4.69,4.77,4.299913,275880596
4.74,4.8,4.7,4.71,4.245826,202097908
4.75,4.77,4.72,4.72,4.25484,145458922
4.72,4.72,4.72,4.72,4.25484,0
4.71,4.81,4.68,4.81,4.335971,302557858
4.78,4.82,4.76,4.79,4.3179419999999995,153244698
4.74,4.76,4.71,4.72,4.25484,104366405
4.74,4.75,4.63,4.69,4.227797,219751212
4.67,4.69,4.62,4.63,4.17371,154190679
4.63,4.74,4.61,4.67,4.209768,139958278
4.7,4.78,4.68,4.75,4.281884,202365685
4.7,4.7,4.63,4.65,4.191739,164938572
4.62,4.72,4.62,4.64,4.182723999999999,130689310
4.62,4.68,4.61,4.65,4.191739,141411474
4.72,4.73,4.65,4.69,4.227797,139781101
4.73,4.74,4.67,4.74,4.272869999999999,105677673
4.79,4.79,4.46,4.58,4.128637,577949224
4.67,4.73,4.63,4.66,4.200753,231900474
4.62,4.64,4.55,4.6,4.146666000000001,258019297
4.55,4.57,4.48,4.51,4.065536,364918241
4.5,4.56,4.48,4.5,4.056521,237056977
4.5,4.53,4.48,4.48,4.038493,258950439
4.47,4.5,4.45,4.46,4.0204629999999995,196614224
4.46,4.49,4.43,4.48,4.038493,149799353
4.48,4.52,4.45,4.49,4.047507,171899320
4.49,4.62,4.49,4.6,4.146666000000001,206659937
4.6,4.7,4.6,4.64,4.182723999999999,213538255
4.6,4.62,4.57,4.61,4.1556809999999995,125924616
4.61,4.68,4.6,4.67,4.209768,174182626
4.68,4.8,4.68,4.76,4.290899,367360077
4.73,4.8,4.73,4.78,4.308928,265674434
4.79,4.83,4.75,4.75,4.281884,296325067
4.77,4.85,4.74,4.79,4.3179419999999995,286776031
4.77,4.79,4.72,4.75,4.281884,444445752
4.73,4.78,4.72,4.77,4.299913,263269417
4.8,4.84,4.77,4.82,4.344984999999999,238882861
4.84,4.85,4.78,4.83,4.354,132195901
4.88,4.9,4.84,4.85,4.372029,252973275
4.83,4.89,4.81,4.85,4.372029,222708601
4.89,4.9,4.77,4.79,4.3179419999999995,301505176
4.76,4.78,4.72,4.76,4.290899,235879202
4.79,4.79,4.71,4.71,4.245826,180407476
4.66,4.68,4.56,4.57,4.119623000000001,433969899
4.55,4.65,4.55,4.57,4.119623000000001,305352295
4.54,4.57,4.51,4.56,4.110608999999999,194896781
4.53,4.59,4.53,4.55,4.101594,192039725
4.55,4.59,4.53,4.56,4.110608999999999,167455633
4.54,4.56,4.47,4.49,4.047507,244414733
4.51,4.55,4.46,4.49,4.047507,314231264
4.47,4.58,4.45,4.54,4.092579,295724899
4.5,4.59,4.5,4.58,4.128637,256920578
4.59,4.68,4.59,4.65,4.191739,316060717
4.65,4.72,4.6,4.68,4.218782,201930710
4.68,4.71,4.63,4.65,4.191739,214672371
4.69,4.72,4.66,4.71,4.245826,203393543
4.73,4.75,4.71,4.73,4.263855,177906284
4.72,4.75,4.66,4.68,4.218782,209665142
4.68,4.74,4.67,4.71,4.245826,127979077
4.74,4.77,4.72,4.76,4.290899,216075152
4.76,4.79,4.74,4.77,4.299913,141335191
4.79,4.8,4.77,4.77,4.299913,128123439
4.75,4.77,4.67,4.73,4.263855,218507011
4.75,4.76,4.7,4.74,4.272869999999999,147173644
4.76,4.81,4.75,4.77,4.299913,221583870
4.75,4.79,4.72,4.78,4.308928,161447989
4.75,4.78,4.71,4.71,4.245826,126115721
4.72,4.78,4.72,4.73,4.263855,127937513
4.76,4.77,4.72,4.73,4.263855,177591227
4.76,4.76,4.7,4.72,4.25484,127417910
4.75,4.83,4.72,4.8,4.326957,260559584
4.78,4.81,4.78,4.78,4.308928,96015895
4.81,4.81,4.72,4.77,4.299913,215352014
4.76,4.8,4.72,4.73,4.263855,119673983
4.73,4.75,4.68,4.7,4.236811,209729067
4.73,4.75,4.7,4.74,4.272869999999999,160744445
4.73,4.78,4.72,4.76,4.290899,194992247
4.79,4.85,4.7,4.82,4.344984999999999,360241535
4.85,4.89,4.82,4.87,4.390058,323825365
4.9,4.93,4.86,4.86,4.381043,278870354
4.88,4.94,4.88,4.94,4.453158999999999,286664639
4.95,4.98,4.91,4.96,4.471188,280366727
4.99,5.13,4.98,5.1,4.597391,785106390
5.19,5.2,5.1,5.13,4.624434,660035916
5.14,5.15,5.03,5.06,4.561333,277091691
5.06,5.15,5.05,5.11,4.6064050000000005,256816602
5.13,5.13,5.05,5.07,4.570348,231535275
5.1,5.19,5.09,5.18,4.669507,348844413
5.19,5.2,5.12,5.19,4.678522,274554590
5.17,5.18,5.12,5.14,4.633449,219459158
5.12,5.18,5.06,5.08,4.579362000000001,272699692
5.1,5.12,5.06,5.09,4.5883769999999995,178663993
5.1,5.12,5.03,5.04,4.543304,185545921
5.1,5.13,4.99,5.01,4.516261,358840582
4.99,5.0,4.92,4.93,4.444145,264493326
4.95,4.98,4.93,4.95,4.462173,229886260
4.98,4.99,4.95,4.97,4.480201999999999,101906827
4.93,5.04,4.92,5.02,4.525275,216594453
4.98,4.99,4.91,4.93,4.444145,216668133
4.93,4.95,4.9,4.91,4.426116,107729855
4.96,5.09,4.94,5.06,4.561333,302530332
5.09,5.15,5.07,5.09,4.5883769999999995,257514002
5.05,5.07,5.02,5.06,4.561333,132780951
