Date,Open,High,Low,Close,Adj Close,Volume
"Jul 24, 2018","28,282.30","28,718.00","28,282.30","28,662.57","28,662.57",-
"Jul 23, 2018","28,298.61","28,391.58","28,091.06","28,256.12","28,256.12","1,893,557,000"
"Jul 20, 2018","28,054.76","28,294.74","27,745.85","28,224.48","28,224.48","2,439,680,200"
"Jul 19, 2018","28,251.16","28,329.98","27,998.36","28,010.86","28,010.86","1,495,109,900"
"Jul 18, 2018","28,352.11","28,386.38","28,045.47","28,117.42","28,117.42","1,507,604,000"
"Jul 17, 2018","28,451.50","28,460.87","28,137.95","28,181.68","28,181.68","1,700,682,900"
"Jul 16, 2018","28,580.96","28,699.21","28,327.00","28,539.66","28,539.66","1,239,642,900"
"Jul 13, 2018","28,689.18","28,715.36","28,500.51","28,525.44","28,525.44","1,449,784,600"
"Jul 12, 2018","28,260.09","28,614.53","28,217.31","28,480.83","28,480.83","1,850,926,800"
"Jul 11, 2018","28,013.72","28,365.72","28,013.72","28,311.69","28,311.69","1,871,183,500"
"Jul 10, 2018","28,900.71","28,981.93","28,682.25","28,682.25","28,682.25","1,667,619,300"
"Jul 09, 2018","28,606.16","28,821.54","28,518.52","28,688.50","28,688.50","1,877,898,300"
"Jul 06, 2018","28,254.37","28,554.21","27,925.33","28,315.62","28,315.62","2,018,289,300"
"Jul 05, 2018","28,101.85","28,320.90","27,830.75","28,182.09","28,182.09","1,879,594,600"
"Jul 04, 2018","28,546.32","28,642.34","28,141.28","28,241.67","28,241.67","2,102,178,600"
"Jul 03, 2018","28,617.00","28,617.00","27,990.45","28,545.57","28,545.57","3,283,196,100"
"Jun 29, 2018","28,463.85","28,962.29","28,463.85","28,955.11","28,955.11","2,390,149,600"
"Jun 28, 2018","28,368.01","28,567.29","28,169.10","28,497.32","28,497.32","2,569,401,700"
"Jun 27, 2018","28,957.64","28,988.83","28,342.82","28,356.26","28,356.26","2,572,195,600"
"Jun 26, 2018","28,881.18","29,034.23","28,505.09","28,881.40","28,881.40","2,528,392,900"
"Jun 25, 2018","29,326.12","29,403.36","28,895.40","28,961.39","28,961.39","2,300,773,700"
"Jun 22, 2018","29,215.54","29,436.84","29,089.39","29,338.70","29,338.70","2,153,358,900"
"Jun 21, 2018","29,764.05","29,882.27","29,285.71","29,296.05","29,296.05","2,026,711,800"
"Jun 20, 2018","29,478.46","29,944.30","29,406.20","29,696.17","29,696.17","2,235,041,100"
"Jun 19, 2018","29,999.01","30,012.04","29,332.28","29,468.15","29,468.15","3,563,935,000"
"Jun 15, 2018","30,411.07","30,519.29","30,259.11","30,309.49","30,309.49","2,336,474,000"
"Jun 14, 2018","30,684.07","30,777.96","30,349.96","30,440.17","30,440.17","2,128,385,000"
"Jun 13, 2018","30,990.37","31,023.73","30,688.26","30,725.15","30,725.15","1,630,943,500"
"Jun 12, 2018","31,029.85","31,242.86","30,944.97","31,103.06","31,103.06","1,378,992,000"
"Jun 11, 2018","31,016.52","31,134.03","30,898.57","31,063.70","31,063.70","1,323,340,300"
"Jun 08, 2018","31,435.26","31,435.26","30,874.10","30,958.21","30,958.21","1,721,286,300"
"Jun 07, 2018","31,464.63","31,521.13","31,369.28","31,512.63","31,512.63","1,937,967,000"
"Jun 06, 2018","31,162.02","31,332.42","31,161.37","31,259.10","31,259.10","1,465,410,700"
"Jun 05, 2018","31,009.47","31,188.93","30,896.11","31,093.45","31,093.45","1,722,042,700"
"Jun 04, 2018","30,836.77","31,012.92","30,743.18","30,997.98","30,997.98","1,836,620,100"
"Jun 01, 2018","30,548.78","30,581.12","30,363.49","30,492.91","30,492.91","2,778,527,900"
"May 31, 2018","30,274.18","30,533.58","30,148.43","30,468.56","30,468.56","4,110,003,600"
"May 30, 2018","30,109.37","30,241.23","29,964.34","30,056.79","30,056.79","2,407,803,400"
"May 29, 2018","30,647.26","30,713.32","30,454.18","30,484.58","30,484.58","1,658,628,600"
"May 28, 2018","30,759.84","30,839.30","30,530.47","30,792.26","30,792.26","1,736,227,200"
"May 25, 2018","30,664.27","30,736.97","30,525.74","30,588.04","30,588.04","1,677,533,500"
"May 24, 2018","30,718.66","30,788.97","30,589.38","30,760.41","30,760.41","1,579,074,300"
"May 23, 2018","31,191.87","31,191.87","30,665.64","30,665.64","30,665.64","2,434,017,000"
"May 21, 2018","31,232.79","31,464.10","31,232.79","31,234.35","31,234.35","1,599,624,500"
"May 18, 2018","31,033.97","31,148.06","30,904.68","31,047.91","31,047.91","1,722,070,700"
"May 17, 2018","31,416.71","31,416.71","30,942.15","30,942.15","30,942.15","1,499,907,300"
"May 16, 2018","31,014.72","31,218.08","30,818.78","31,110.20","31,110.20","1,348,037,300"
"May 15, 2018","31,573.18","31,573.18","31,152.03","31,152.03","31,152.03","1,566,899,600"
"May 14, 2018","31,498.36","31,592.56","31,423.57","31,541.08","31,541.08","1,794,416,600"
"May 11, 2018","31,151.80","31,277.39","31,032.44","31,122.06","31,122.06","1,627,487,900"
"May 10, 2018","30,716.97","30,851.30","30,712.93","30,809.22","30,809.22","1,534,597,300"
"May 09, 2018","30,452.16","30,568.76","30,346.62","30,536.14","30,536.14","1,360,669,300"
"May 08, 2018","30,123.77","30,444.22","30,123.77","30,402.81","30,402.81","1,623,605,700"
"May 07, 2018","30,102.06","30,138.33","29,791.87","29,994.26","29,994.26","1,441,380,300"
"May 04, 2018","30,316.98","30,341.46","29,859.30","29,926.50","29,926.50","1,754,754,700"
"May 03, 2018","30,405.48","30,432.07","30,118.65","30,313.37","30,313.37","1,736,327,100"
"May 02, 2018","30,782.21","30,824.77","30,570.81","30,723.88","30,723.88","1,643,135,500"
"Apr 30, 2018","30,530.40","30,853.13","30,483.91","30,808.45","30,808.45","1,923,280,800"
