,Date,Symbol,ID,Average_Price,Capital,End_Cash,Portfolio_Value,Profit_per_Share,Return_rate,Share_Price,Shares,Start_Cash,Total_Profit,Trade_Value,Type
0,1/4/2016,100,scb_16471,8.1,270000,270000,0,0,0.00%,8.1,0,270000,0,0,Sell
1,1/4/2016,151,scb_3763,5.55,920000,920000,0,0,0.00%,5.55,0,920000,0,0,Sell
2,1/4/2016,154,scb_2767,1.74,990000,118956,871044,0,0.00%,1.74,500600,990000,0,871044,Buy
3,1/4/2016,156,scb_19814,0.26,870000,870000,0,0,0.00%,0.26,0,870000,0,0,Sell
4,1/4/2016,174,scb_7878,1.1,490000,480320,9680,0,0.00%,1.1,8800,490000,0,9680,Buy
5,1/4/2016,177,scb_12203,10.12,70000,7256,62743,0,0.00%,10.12,6200,70000,0,62743,Buy
6,1/4/2016,195,scb_19814,0.31,870000,870000,0,0,0.00%,0.31,0,870000,0,0,Sell
7,1/4/2016,227,scb_12203,1.21,70000,843,69157,0,0.00%,1.21,5300,7256,0,6413,Buy
8,1/4/2016,276,scb_9657,0.17,330000,330000,0,0,0.00%,0.17,0,330000,0,0,Sell
9,1/4/2016,290,scb_10355,0.11,250000,250000,0,0,0.00%,0.11,0,250000,0,0,Sell
10,1/4/2016,328,scb_5394,2.56,220000,200288,19712,0,0.00%,2.56,7700,220000,0,19712,Buy
11,1/4/2016,334,scb_10355,1.18,250000,225102,24898,0,0.00%,1.18,21100,250000,0,24898,Buy
12,1/4/2016,337,scb_3763,2.82,920000,110660,809340,0,0.00%,2.82,287000,920000,0,809340,Buy
13,1/4/2016,342,scb_7878,3.04,490000,480320,9680,0,0.00%,3.04,0,480320,0,0,Sell
14,1/4/2016,374,scb_16536,2.75,530000,312750,217250,0,0.00%,2.75,79000,530000,0,217250,Buy
15,1/4/2016,385,scb_5394,1,220000,182288,37712,0,0.00%,1,18000,200288,0,18000,Buy
16,1/4/2016,423,scb_12203,1.58,70000,211,69789,0,0.00%,1.58,400,843,0,632,Buy
17,1/4/2016,559,scb_1551,0.25,250000,250000,0,0,0.00%,0.25,0,250000,0,0,Sell
18,1/4/2016,599,scb_1551,0.68,250000,250000,0,0,0.00%,0.68,0,250000,0,0,Sell
19,1/4/2016,631,scb_10355,1.74,250000,225102,24898,0,0.00%,1.74,0,225102,0,0,Sell
20,1/4/2016,633,scb_18791,2.6,460000,59860,400140,0,0.00%,2.6,153900,460000,0,400140,Buy
21,1/4/2016,643,scb_10355,1.26,250000,225102,24898,0,0.00%,1.26,0,225102,0,0,Sell
22,1/4/2016,663,scb_12203,0.22,70000,37,69962,0,0.00%,0.22,800,211,0,173,Buy
